Datum;Carbon Steel World Price;Fuel Energy Index;MSCI World;Nickel;Aluminium;SandP500;Dax30;Natural gas;Arca Steel Index;ArcelorMittal;Hang Seng China;Lead;China Steel;Iron ore;Metal Index;Gold;Crude Oil;ThyssenKrupp;Capesize Charter Rates;Car production China
Apr 04;557;65,38;1035,66;12725,9;1731,68;1126,21;3858,34;5,72;;10,97;;;;;;;;;65900;304,25
Mai 04;574;72,01;1042,63;11228,61;1625,27;1107,3;3972,88;6,34;;10,75;;;;;;;;;58000;251,28
Jun 04;588;69,39;1062,51;13599,36;1682,04;1120,68;3924,3;6,27;;12,52;;;;;;;;;37375;266,11
Jul 04;593;73,4;1026,99;15020,07;1707,87;1140,84;4078,36;5,93;;14,8;;;;;;;;;51500;292,14
Aug 04;588;79,73;1029,63;13639,62;1692,1;1101,72;3891,18;5,41;;17,6;;;;;;;;;55000;348,18
Sep 04;632;78,63;1047,86;13430,36;1731,02;1104,24;3794,17;5,17;;25,25;;;;;;;;;51500;312,12
Okt 04;638;87,84;1072,7;14378,48;1830,37;1114,58;3895,15;6,38;;29,1;;;;;;;;;56000;229,35
Nov 04;651;80,19;1127,34;14089,51;1817,35;1130,2;3961,18;6,19;;33,5;;;;;;;;;68750;249,85
Dez 04;653;75,26;1169,34;13764,98;1852,92;1173,78;4108,55;6,58;;42,8;;;;;;;;;70000;273,22
Jan 05;646;81,68;1142,35;14563,75;1836,21;1211,92;4260,92;6,15;;38,7;;;;;;;;;64625;292,03
Feb 05;635;83,88;1176,7;15415,6;1882,8;1181,27;4256,65;6,14;;36,5;;;;;;;;;68125;292,97
Mrz. 05;637;94,58;1151,18;16239,9;1987,52;1203,6;4345,24;6,65;;41,2;;;;;;;;;66500;351,69
Apr 05;619;95,06;1123,64;16138,33;1892,01;1180,59;4348,03;7,18;;32,6;;;;;;;;;66675;324,94
Mai 05;605;90,45;1140,68;17002,25;1741,45;1156,85;4208,63;6,47;;23,95;;;;;;;;;61375;266,61
Jun 05;562;100,11;1148,81;16113,18;1731,94;1191,5;4467,32;7,18;;25;;;;;;;;;43375;318,27
Jul 05;528;104,96;1188,16;14587,6;1783,26;1191,33;4584,44;7,65;;23,6;;;;;;;;;39300;373,36
Aug 05;538;114,21;1194,81;14962;1871,27;1234,18;4882,39;9,52;;29,02;;;;;;;;;34688;403,19
Sep 05;568;114,72;1224,31;14154,55;1837,69;1220,33;4846,66;12,42;;28,75;;;;;;;;;41850;364,24
Okt 05;567;110,14;1193,88;12431,12;1934,14;1228,81;5060,99;13,63;;29,4;;;;;;;;;46625;259,62
Nov 05;559;103,71;1231,41;12235,05;2056,97;1207,01;4922,91;10,3;;25,3;;;;;;;;;43000;303,82
Dez 05;554;106,51;1257,78;13490,45;2250,9;1249,48;5210,54;13,05;;27,8;;;;;;;;;36300;363,38
Jan 06;555;115,73;1313,21;14660,81;2383,3;1248,29;5410,24;8,69;;27,25;;;;;;;;;31750;395,7
Feb 06;551;111,73;1309,45;14974,5;2453,38;1280,08;5662,05;7,53;;36;;;;;;;;;31313;462,6
Mrz. 06;566;113,64;1335,07;14925,48;2432,48;1280,66;5806,96;6,88;;33,85;;;;;;;;;32750;455,44
Apr 06;586;125,61;1373,38;18028,89;2623,86;1302,88;5989,08;7,17;;38,4;;;;;;;;;32688;394,48
Mai 06;618;126,57;1322,25;21131,33;2852,07;1310,61;6014,38;6,25;;37,75;;;;;;;;;31125;342,33
Jun 06;648;126,02;1319,93;20585,91;2490,95;1270,05;5677,53;6,2;;32,9;;;;;;;;;34700;367,28
Jul 06;653;132,83;1327,23;26185,71;2511,83;1270,06;5688;6,17;;30,5;;;;;;;;;43250;412,19
Aug 06;655;132,01;1358,87;30468,86;2461,55;1278,53;5678,01;7,13;;34,56;;;;;;;;;60700;456,82
Sep 06;652;115,67;1373,37;29702,62;2484,38;1303,8;5861,25;4,9;;34,31;;;;;;;;;60900;448,75
Okt 06;633;108,96;1422,93;32551,14;2657,15;1335,82;6019,34;5,84;;34,66;;;;;;;;;61000;352,05
Nov 06;630;109,79;1455,17;31891,59;2702,14;1377,76;6262,71;7,41;;43,4;;;;;;;;;60563;388,28
Dez 06;635;114,28;1483,58;34400,53;2823,67;1400,63;6322,18;6,73;;41,2;;;;;;;;;60300;432,43
Jan 07;629;102,36;1500,23;36821,59;2799,06;1418,03;6614,73;6,53;;41,95;;;;;;;;;62250;463,37
Feb 07;643;109,21;1490,44;41078,25;2839,05;1437,9;6821,31;8;;47,96;;;;;;;;;63875;480,18
Mrz. 07;663;114,09;1514,18;46125,23;2757,08;1406,8;6714,25;7,11;;49,91;;;;;;;;;71450;536,5
