Date,Carbon.Steel.World.Price,Fuel.Energy.Index,MSCI.World,Nickel,Aluminium,SandP500,Dax30,Natural.gas,Arca.Steel.Index,ArcelorMittal,Hang.Seng.China,Lead,China.Steel,Iron.ore,Metal.Index,Gold,Crude.Oil,ThyssenKrupp,Capesize.Charter.Rates,Car.production.China
01.02.2002,270,38.96,962.73,6039.95,1371.08,1130.2,5109.48,2.31,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,12563,151.56
01.03.2002,283,45.06,1003.6,6543.2,1404.99,1106.73,5025.96,3.03,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,14400,181.48
01.04.2002,296,47.93,968.25,6956.81,1370.39,1147.39,5379.64,3.43,NA,1.75,NA,NA,NA,NA,NA,NA,NA,NA,15063,189.95
01.05.2002,304,48.46,967.85,6771.18,1344.43,1076.92,5043.01,3.5,NA,2.78,NA,NA,NA,NA,NA,NA,NA,NA,13900,189.07
01.06.2002,320,46.38,907.81,7147.61,1356.93,1067.14,4818.07,3.23,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA,14250,167.69
01.07.2002,334,48.62,830.55,7137.7,1337.87,989.82,4377.1,2.99,NA,3.08,NA,NA,NA,NA,NA,NA,NA,NA,13750,195.06
01.08.2002,335,49.65,830.58,6736.86,1293.36,911.62,3699.31,3.09,NA,2.54,NA,NA,NA,NA,NA,NA,NA,NA,13920,225.86
01.09.2002,337,52.34,738.18,6664.95,1301.7,916.07,3698.69,3.55,NA,2.52,NA,NA,NA,NA,NA,NA,NA,NA,15225,225.45
01.10.2002,335,51.79,791.88,6818.91,1311.46,815.28,2772.96,4.13,NA,1.94,NA,NA,NA,NA,NA,NA,NA,NA,15938,182
01.11.2002,337,47.4,833.47,7314.81,1373.27,885.76,3152.19,4.06,NA,2.4,NA,NA,NA,NA,NA,NA,NA,NA,16900,177.79
01.12.2002,334,52.53,792.21,7206.33,1375.86,936.31,3332.73,4.75,NA,2.29,NA,NA,NA,NA,NA,NA,NA,NA,18525,215.69
01.01.2003,346,57.77,767.48,8032.91,1379.29,879.82,2898.68,5.45,NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA,18775,224.4
01.02.2003,355,62.02,752.86,8607.95,1421.56,855.7,2750.4,7.7,NA,2.57,NA,NA,NA,NA,NA,NA,NA,NA,19188,256.29
01.03.2003,360,57.35,748.63,8339.71,1386.55,841.15,2553.74,5.94,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,19875,256.61
01.04.2003,359,49.59,813.3,7930.6,1334.32,848.18,2426.24,5.28,NA,3.32,NA,NA,NA,NA,NA,NA,NA,NA,21594,226.04
01.05.2003,360,50.55,857.65,8347.75,1400.42,916.92,2938.72,5.81,NA,3.92,NA,NA,NA,NA,NA,NA,NA,NA,22750,188.51
01.06.2003,361,53.51,871.07,8839.05,1410.54,963.59,2990.93,5.85,NA,4.55,NA,NA,NA,NA,NA,NA,NA,NA,22563,221.02
01.07.2003,360,54.44,887.78,8831.78,1440.9,974.5,3217.21,5.03,NA,4.03,NA,NA,NA,NA,NA,NA,NA,NA,23656,277.17
01.08.2003,358,56.27,905.32,9359.9,1457.24,990.31,3481.81,4.99,NA,4.16,NA,NA,NA,NA,NA,NA,NA,NA,27150,336.08
01.09.2003,361,51.97,909.64,9995.82,1416.6,1008.01,3493.34,4.62,NA,4.2,NA,NA,NA,NA,NA,NA,NA,NA,31031,308.42
01.10.2003,372,55.4,962.71,11040.35,1477.25,995.97,3255.76,4.63,NA,5.58,NA,NA,NA,NA,NA,NA,NA,NA,54000,220.95
01.11.2003,374,55.84,976.02,12052.4,1511.6,1050.71,3657.61,4.49,NA,5.75,NA,NA,NA,NA,NA,NA,NA,NA,55500,235.93
01.12.2003,384,57.96,1036.32,14185.21,1557.78,1058.2,3752.72,6.14,NA,6.85,NA,NA,NA,NA,NA,NA,NA,NA,58813,277.38
01.01.2004,419,60.35,1052.29,15089.33,1608.89,1111.92,3969.04,6.15,NA,8.97,NA,NA,NA,NA,NA,NA,NA,NA,67825,304.12
01.02.2004,452,60.34,1068.65,15099.35,1685.23,1131.13,4062.79,5.38,NA,7.55,NA,NA,NA,NA,NA,NA,NA,NA,76563,370.85
01.03.2004,527,64.6,1059.16,13786.54,1657.35,1144.94,4026.19,5.4,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,72688,349.24
01.04.2004,557,65.38,1035.66,12725.9,1731.68,1126.21,3858.34,5.72,NA,10.97,NA,NA,NA,NA,NA,NA,NA,NA,65900,304.25
